Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
03.09.2017-19:00,2.6,36,1019.1,55.2,14.6,60,763.5
03.09.2017-20:00,2.1,0,1019.4,-2.8,13.3,66,258.1667
03.09.2017-21:00,4.1,0,1019.6,-7.0,13.1,66,0.0
03.09.2017-22:00,3.4,0,1020.1,-6.5,12.8,68,0.0
03.09.2017-23:00,3.4,0,1020.2,-6.8,12.6,69,0.0
04.09.2017-00:00,4.0,0,1020.0,-6.8,12.2,72,0.0
04.09.2017-01:00,4.2,0,1019.8,-6.2,12.4,72,0.0
04.09.2017-02:00,4.5,0,1019.6,-6.2,12.8,71,0.0
04.09.2017-03:00,4.3,0,1019.6,-6.2,12.4,71,0.0
04.09.2017-04:00,4.5,0,1019.3,-6.3,12.6,71,0.0
04.09.2017-05:00,4.1,0,1019.3,-6.8,12.2,75,0.0
04.09.2017-06:00,5.2,0,1019.3,-2.2,12.3,75,0.0
04.09.2017-07:00,5.6,0,1019.4,15.1,12.2,76,0.0
04.09.2017-08:00,5.5,0,1019.2,27.3,12.0,80,104.1667
04.09.2017-09:00,5.7,0,1018.9,48.8,12.3,80,467.1667
04.09.2017-10:00,5.8,0,1018.8,60.4,12.6,75,528.0
04.09.2017-11:00,6.4,0,1018.8,89.0,13.0,70,929.1666
04.09.2017-12:00,5.6,0,1019.1,77.2,12.9,68,1082.1667
04.09.2017-13:00,3.9,0,1019.7,50.3,12.1,74,385.3333
04.09.2017-14:00,4.3,0,1019.6,59.3,11.1,90,433.1667
04.09.2017-15:00,5.0,0,1019.6,63.7,10.7,94,400.8333
04.09.2017-16:00,5.4,0,1019.3,73.8,10.7,93,262.0
04.09.2017-17:00,5.1,0,1019.2,77.4,11.0,91,171.6666
04.09.2017-18:00,3.8,0,1019.7,21.6,10.9,92,127.1667
04.09.2017-19:00,4.7,0,1019.6,-0.8,10.7,94,7.1667
04.09.2017-20:00,5.6,0,1019.7,-5.6,10.9,92,0.0
04.09.2017-21:00,4.7,0,1019.7,-6.4,10.8,93,0.0
04.09.2017-22:00,5.0,0,1019.8,-5.5,10.8,93,0.0
04.09.2017-23:00,4.8,0,1019.9,-5.7,10.8,94,0.0
05.09.2017-00:00,4.0,0,1019.7,-5.6,11.0,93,0.0
05.09.2017-01:00,4.4,0,1019.9,-5.6,11.1,93,0.0
05.09.2017-02:00,3.4,0,1019.4,-5.8,11.0,95,0.0
05.09.2017-03:00,2.4,0,1019.4,-6.2,11.2,95,0.0
05.09.2017-04:00,2.7,0,1019.0,-7.7,11.0,98,0.0
05.09.2017-05:00,3.5,0,1019.0,-6.9,11.2,96,0.0
05.09.2017-06:00,3.5,0,1019.1,-5.4,11.0,100,0.0
05.09.2017-07:00,3.3,0,1018.8,3.1,11.4,96,0.0
05.09.2017-08:00,3.2,0,1018.8,17.0,11.8,94,0.0
05.09.2017-09:00,3.2,0,1018.8,25.0,11.9,96,0.0
05.09.2017-10:00,2.9,0,1018.7,45.7,12.4,93,228.0
05.09.2017-11:00,2.7,0,1018.6,42.3,12.3,99,311.3333
05.09.2017-12:00,2.0,0,1018.1,86.1,12.9,98,394.0
05.09.2017-13:00,2.8,0,1017.8,79.5,13.3,96,495.3333
05.09.2017-14:00,1.9,0,1017.5,48.1,13.5,95,552.6667
05.09.2017-15:00,2.0,0,1017.3,15.9,13.3,98,259.8334
05.09.2017-16:00,2.1,0,1017.0,10.6,13.3,98,93.5
05.09.2017-17:00,2.4,0,1016.6,9.3,13.4,98,78.3332
05.09.2017-18:00,1.8,0,1016.2,2.0,13.5,97,33.5
05.09.2017-19:00,2.5,0,1015.7,-4.2,13.5,97,0.0
05.09.2017-20:00,2.0,0,1015.4,-6.3,13.6,97,0.0
05.09.2017-21:00,0.7,0,1015.1,-7.5,13.3,100,0.0
05.09.2017-22:00,1.3,0,1014.7,-7.6,13.4,100,0.0
05.09.2017-23:00,2.3,0,1014.4,-7.7,13.4,100,0.0
06.09.2017-00:00,1.8,0,1013.9,-7.4,13.4,99,0.0
06.09.2017-01:00,1.4,0,1013.4,-7.4,13.4,98,0.0
06.09.2017-02:00,2.0,0,1012.9,-5.2,13.0,100,0.0
06.09.2017-03:00,1.8,0,1012.5,-6.0,13.0,98,0.0
06.09.2017-04:00,1.6,0,1012.1,-6.0,12.9,97,0.0
06.09.2017-05:00,1.3,0,1011.8,-6.2,12.7,96,0.0
06.09.2017-06:00,3.4,0,1011.2,-4.8,12.4,99,0.0
06.09.2017-07:00,2.5,0,1011.2,3.3,12.4,100,0.0
06.09.2017-08:00,2.8,0,1011.0,22.6,12.7,99,0.0
06.09.2017-09:00,3.1,0,1010.9,38.0,13.0,97,0.0
06.09.2017-10:00,3.1,0,1010.8,52.6,13.0,98,96.5
06.09.2017-11:00,3.3,0,1010.5,55.6,13.0,99,246.1667
06.09.2017-12:00,3.1,0,1010.2,68.9,12.9,100,391.5001
06.09.2017-13:00,3.9,0,1010.0,68.9,12.7,99,601.8333
06.09.2017-14:00,3.7,0,1009.8,53.9,12.7,99,690.8333
06.09.2017-15:00,4.3,0,1009.6,31.4,12.9,96,369.1667
06.09.2017-16:00,3.1,0,1009.6,22.9,12.6,99,266.9999
06.09.2017-17:00,3.6,0,1009.6,12.8,12.4,99,121.1666
06.09.2017-18:00,3.7,0,1009.9,4.3,12.2,97,0.0
06.09.2017-19:00,3.9,0,1010.3,0.2,11.7,97,0.0
06.09.2017-20:00,3.4,0,1010.6,-3.8,11.3,97,0.0
06.09.2017-21:00,3.4,0,1011.0,-4.0,11.1,98,0.0
06.09.2017-22:00,3.7,0,1011.1,-3.8,10.9,99,0.0
06.09.2017-23:00,3.5,0,1011.2,-3.9,10.9,98,0.0
07.09.2017-00:00,2.4,0,1011.3,-4.5,10.8,100,0.0
07.09.2017-01:00,3.1,0,1011.4,-4.7,10.8,96,0.0
07.09.2017-02:00,2.8,0,1011.5,-5.8,10.6,94,0.0
07.09.2017-03:00,2.9,0,1011.4,-6.1,10.5,90,0.0
07.09.2017-04:00,2.5,0,1011.5,-6.7,10.2,94,0.0
07.09.2017-05:00,3.4,0,1011.4,-6.3,10.0,94,0.0
07.09.2017-06:00,2.7,0,1011.4,-1.7,9.9,96,0.0
07.09.2017-07:00,3.0,0,1011.5,16.9,10.1,94,0.0
07.09.2017-08:00,2.5,0,1011.5,46.3,10.5,89,173.8334
07.09.2017-09:00,2.3,0,1011.4,113.5,11.3,85,943.3333
07.09.2017-10:00,2.4,0,1011.4,224.9,12.3,78,1547.8334
07.09.2017-11:00,2.9,0,1011.1,209.6,12.3,79,2395.3333
07.09.2017-12:00,2.1,0,1010.8,211.6,12.5,74,1519.8332
07.09.2017-13:00,2.4,0,1010.3,201.5,12.6,72,1869.0
07.09.2017-14:00,2.5,0,1009.9,217.6,13.3,73,1036.1666
07.09.2017-15:00,3.1,0,1009.5,214.3,12.8,68,1247.1667
07.09.2017-16:00,2.2,0,1009.3,114.2,12.6,72,1881.5001
07.09.2017-17:00,2.5,0,1008.9,48.4,12.2,72,1302.8333
07.09.2017-18:00,2.0,0,1008.6,31.2,11.9,74,608.5
07.09.2017-19:00,1.6,0,1008.4,11.3,11.3,78,269.6666
07.09.2017-20:00,2.5,0,1008.2,-6.8,10.3,86,36.1667
07.09.2017-21:00,2.5,0,1007.9,-6.8,9.6,87,0.0
07.09.2017-22:00,2.4,0,1007.4,-6.4,9.8,88,0.0
07.09.2017-23:00,3.0,0,1006.8,-6.2,9.9,88,0.0
08.09.2017-00:00,3.5,0,1006.1,-6.3,9.7,88,0.0
08.09.2017-01:00,2.5,0,1005.6,-6.2,9.6,90,0.0
08.09.2017-02:00,2.7,0,1005.0,-6.5,9.6,90,0.0
08.09.2017-03:00,3.1,0,1004.4,-6.8,9.5,90,0.0
08.09.2017-04:00,2.5,0,1003.6,-6.2,9.4,91,0.0
08.09.2017-05:00,2.5,0,1003.0,-6.6,9.4,91,0.0
08.09.2017-06:00,4.0,0,1002.6,3.5,9.3,91,0.0
08.09.2017-07:00,3.1,0,1002.4,26.3,9.6,89,0.0
08.09.2017-08:00,2.2,0,1001.8,57.3,10.3,86,125.3333
08.09.2017-09:00,2.5,0,1001.3,106.5,11.1,80,605.1667
08.09.2017-10:00,2.3,0,1000.8,130.9,11.4,79,1072.8333
08.09.2017-11:00,2.6,0,1000.1,167.3,12.0,75,1609.3333
08.09.2017-12:00,2.9,0,999.2,259.5,13.1,75,1522.8333
08.09.2017-13:00,2.7,0,998.8,165.2,13.4,68,2977.1668
08.09.2017-14:00,3.6,0,998.4,68.0,13.0,68,1001.0
08.09.2017-15:00,3.4,0,997.9,87.1,12.8,72,489.6666
08.09.2017-16:00,4.6,0,997.2,95.5,12.6,74,345.5
08.09.2017-17:00,4.1,0,996.6,91.8,12.6,74,679.8333
08.09.2017-18:00,3.4,0,996.3,30.8,12.5,73,607.8334
08.09.2017-19:00,3.4,0,995.9,2.0,12.0,76,107.6668
08.09.2017-20:00,4.1,0,995.5,-6.6,11.7,78,0.0
08.09.2017-21:00,4.4,0,994.9,-6.2,11.8,77,0.0
08.09.2017-22:00,5.2,0,994.3,-7.2,11.3,83,0.0
08.09.2017-23:00,5.2,0,993.8,-6.6,10.8,90,0.0
09.09.2017-00:00,5.2,0,993.3,-5.0,10.3,96,0.0
09.09.2017-01:00,6.0,0,992.9,-4.7,10.1,98,0.0
09.09.2017-02:00,4.5,0,992.5,-3.9,10.2,98,0.0
09.09.2017-03:00,4.6,0,992.3,-3.9,10.0,98,0.0
09.09.2017-04:00,3.8,0,992.4,-4.6,10.1,99,0.0
09.09.2017-05:00,2.2,0,992.4,-6.5,10.3,98,0.0
09.09.2017-06:00,4.3,0,992.5,-3.5,10.3,97,0.0
09.09.2017-07:00,3.3,0,993.0,16.9,10.5,98,0.0
09.09.2017-08:00,3.2,0,993.2,33.2,10.7,100,0.0
09.09.2017-09:00,2.4,0,993.7,70.5,11.4,97,42.25
09.09.2017-10:00,1.8,0,994.0,64.0,11.8,96,441.8333
09.09.2017-11:00,2.5,0,994.1,176.6,12.8,94,1132.8333
09.09.2017-12:00,0.6,0,994.4,110.6,12.4,99,565.5
09.09.2017-13:00,1.3,0,994.4,222.7,13.6,91,1248.3333
09.09.2017-14:00,1.7,7,994.5,302.2,14.9,88,1511.8332
09.09.2017-15:00,1.9,1,994.5,111.9,13.5,93,1277.1666
09.09.2017-16:00,1.6,0,994.5,39.1,13.1,100,1770.1667
09.09.2017-17:00,2.6,0,994.8,65.9,12.7,96,1431.3334
09.09.2017-18:00,2.5,1,994.5,43.4,12.5,99,278.6666
09.09.2017-19:00,2.9,0,994.3,7.0,12.4,100,1.5
09.09.2017-20:00,3.1,0,994.1,-5.6,12.0,98,0.0
09.09.2017-21:00,2.7,0,994.1,-5.4,11.9,99,0.0
09.09.2017-22:00,0.7,0,994.1,-6.6,11.1,100,0.0
09.09.2017-23:00,0.3,0,994.0,-7.8,10.4,100,0.0
10.09.2017-00:00,0.8,0,994.0,-8.1,10.0,100,0.0
10.09.2017-01:00,1.2,0,994.0,-6.9,10.0,100,0.0
10.09.2017-02:00,0.3,0,994.1,-7.6,9.7,100,0.0
10.09.2017-03:00,0.4,0,994.1,-6.9,10.0,100,0.0
10.09.2017-04:00,0.7,0,994.1,-7.4,9.9,100,0.0
10.09.2017-05:00,0.7,0,994.2,-7.2,10.2,100,0.0
10.09.2017-06:00,0.0,0,993.9,-4.5,10.6,100,0.0
10.09.2017-07:00,1.9,0,994.1,14.5,10.9,100,0.0
10.09.2017-08:00,1.6,0,993.9,55.8,11.1,100,140.1667
10.09.2017-09:00,1.9,1,994.0,96.6,11.9,100,581.3333
10.09.2017-10:00,1.7,5,994.0,222.8,13.1,88,1047.1666
10.09.2017-11:00,1.2,15,993.7,309.7,15.8,86,2429.5
10.09.2017-12:00,3.9,50,993.6,485.4,16.1,72,5532.5002
10.09.2017-13:00,5.1,4,993.4,269.2,15.7,69,4708.1666
10.09.2017-14:00,4.6,0,993.3,145.6,14.2,77,2806.8333
10.09.2017-15:00,2.1,1,993.7,101.5,11.9,97,1207.6667
10.09.2017-16:00,1.7,27,993.1,252.1,12.9,91,627.1667
10.09.2017-17:00,3.1,1,993.1,84.4,13.5,91,3602.1666
10.09.2017-18:00,3.5,0,992.8,41.4,13.5,93,586.6667
10.09.2017-19:00,3.2,0,992.9,10.8,13.4,94,388.8333
10.09.2017-20:00,3.5,0,992.7,-5.5,13.3,94,17.1667
10.09.2017-21:00,2.9,0,993.0,-5.6,12.1,99,0.0
10.09.2017-22:00,2.7,0,992.9,-4.6,12.4,100,0.0
10.09.2017-23:00,3.2,0,992.8,-5.5,12.3,100,0.0
11.09.2017-00:00,2.4,0,992.7,-6.4,12.0,99,0.0
11.09.2017-01:00,1.5,0,992.3,-6.6,11.8,100,0.0
11.09.2017-02:00,1.6,0,992.1,-5.4,11.9,100,0.0
11.09.2017-03:00,3.0,0,991.7,-3.9,12.6,100,0.0
11.09.2017-04:00,2.2,0,991.5,-4.4,12.5,100,0.0
11.09.2017-05:00,2.7,0,990.9,-5.3,12.6,100,0.0
11.09.2017-06:00,3.3,0,990.6,-3.8,12.7,98,0.0
11.09.2017-07:00,3.3,0,990.6,5.8,12.9,96,0.0
11.09.2017-08:00,4.9,0,990.1,24.2,13.1,93,0.0
11.09.2017-09:00,4.6,0,990.0,19.7,13.3,90,0.0
11.09.2017-10:00,3.5,0,989.7,21.5,12.9,94,201.8334
11.09.2017-11:00,4.4,0,989.3,32.9,12.9,94,306.8333
11.09.2017-12:00,5.1,0,989.2,46.2,12.8,95,225.0
11.09.2017-13:00,3.8,0,989.5,100.1,13.2,96,199.6667
11.09.2017-14:00,3.5,0,989.6,36.8,12.8,100,573.0
11.09.2017-15:00,3.8,0,989.5,34.4,12.9,100,350.6666
11.09.2017-16:00,3.5,0,989.7,101.9,14.1,95,392.8333
11.09.2017-17:00,3.3,0,989.8,36.5,13.4,96,636.8333
11.09.2017-18:00,3.0,7,989.9,48.6,13.5,98,935.8334
11.09.2017-19:00,2.4,0,990.6,2.2,13.0,96,439.8334
11.09.2017-20:00,2.3,0,991.0,-6.2,12.2,100,0.0
11.09.2017-21:00,1.7,0,991.2,-6.0,12.4,100,0.0
11.09.2017-22:00,1.7,0,991.0,-5.8,12.1,99,0.0
11.09.2017-23:00,3.2,0,991.0,-6.5,12.1,98,0.0
12.09.2017-00:00,1.0,0,990.6,-6.8,12.0,97,0.0
12.09.2017-01:00,2.7,0,990.3,-6.9,12.1,96,0.0
12.09.2017-02:00,2.9,0,990.0,-5.6,11.6,97,0.0
12.09.2017-03:00,1.7,0,989.7,-5.5,11.3,94,0.0
12.09.2017-04:00,2.9,0,989.3,-5.2,11.3,96,0.0
12.09.2017-05:00,2.1,0,988.6,-3.9,11.7,98,0.0
12.09.2017-06:00,3.1,0,988.4,-4.1,11.8,99,0.0
12.09.2017-07:00,3.0,0,988.4,32.4,12.1,100,0.0
12.09.2017-08:00,3.2,0,988.4,14.8,12.2,100,35.3334
12.09.2017-09:00,2.4,0,988.6,64.8,12.8,98,427.3333
12.09.2017-10:00,0.8,6,988.8,123.9,13.8,100,724.1667
12.09.2017-11:00,3.8,16,989.4,216.4,13.8,93,2934.4999
12.09.2017-12:00,4.9,9,989.8,299.6,14.6,86,2140.8332
12.09.2017-13:00,4.5,22,990.0,344.4,15.7,79,1549.1668
12.09.2017-14:00,6.0,16,989.9,275.3,15.4,82,3456.1667
12.09.2017-15:00,5.7,36,989.9,366.9,15.8,80,1974.1668
12.09.2017-16:00,5.2,39,989.9,283.2,14.6,83,3880.1665
12.09.2017-17:00,5.8,0,990.2,74.6,14.2,84,1576.5
12.09.2017-18:00,5.0,0,990.1,36.5,14.2,85,1434.9999
12.09.2017-19:00,3.2,0,990.4,-1.8,13.7,90,184.8334
12.09.2017-20:00,3.6,0,990.8,-5.9,13.4,95,0.0
12.09.2017-21:00,3.5,0,991.0,-5.8,13.3,91,0.0
12.09.2017-22:00,3.2,0,991.4,-5.8,13.0,87,0.0
12.09.2017-23:00,2.8,0,991.5,-6.3,12.4,91,0.0
13.09.2017-00:00,2.3,0,991.7,-6.6,11.8,94,0.0
13.09.2017-01:00,3.2,0,991.6,-6.3,11.6,94,0.0
13.09.2017-02:00,1.9,0,991.5,-6.4,10.9,97,0.0
13.09.2017-03:00,2.2,0,991.5,-6.8,10.3,100,0.0
13.09.2017-04:00,1.3,0,991.5,-6.7,10.4,100,0.0
13.09.2017-05:00,1.8,0,991.3,-6.4,10.4,100,0.0
13.09.2017-06:00,1.0,0,991.2,-3.8,10.2,99,0.0
13.09.2017-07:00,1.3,0,991.2,15.5,10.4,99,0.0
13.09.2017-08:00,1.0,0,990.9,42.1,10.6,97,105.0
13.09.2017-09:00,0.7,0,991.0,83.0,10.9,93,491.1667
13.09.2017-10:00,1.4,6,990.8,183.2,12.0,87,820.3333
13.09.2017-11:00,0.6,28,990.3,374.1,13.0,78,1632.1666
13.09.2017-12:00,2.6,55,989.8,550.8,16.3,65,1962.3333
13.09.2017-13:00,3.0,56,989.4,501.4,15.2,62,1909.6667
13.09.2017-14:00,2.3,47,989.0,346.5,16.1,62,4279.1667
13.09.2017-15:00,2.2,60,988.4,421.1,16.3,60,4377.3335
13.09.2017-16:00,0.9,60,987.9,286.6,16.0,63,2818.1667
13.09.2017-17:00,3.0,12,988.1,61.8,11.0,95,3170.5
13.09.2017-18:00,2.1,0,987.7,12.6,11.5,93,455.1667
13.09.2017-19:00,2.6,0,987.5,2.4,10.6,94,194.1667
13.09.2017-20:00,2.8,0,987.5,-5.5,10.5,97,7.5
13.09.2017-21:00,1.7,0,987.5,-6.2,10.6,97,0.0
13.09.2017-22:00,3.0,0,987.5,-6.2,10.8,93,0.0
13.09.2017-23:00,3.1,0,987.6,-6.2,10.7,93,0.0
14.09.2017-00:00,3.1,0,987.5,-6.9,10.2,95,0.0
14.09.2017-01:00,2.0,0,987.6,-7.0,10.3,94,0.0
14.09.2017-02:00,0.7,0,987.6,-7.1,10.1,97,0.0
14.09.2017-03:00,0.8,0,987.7,-7.2,10.2,94,0.0
14.09.2017-04:00,0.5,0,987.9,-7.5,9.8,98,0.0
14.09.2017-05:00,3.0,0,988.0,-8.0,9.9,96,0.0
14.09.2017-06:00,0.9,0,988.2,-5.1,9.7,97,0.0
14.09.2017-07:00,0.3,0,988.5,23.9,10.4,97,0.0
14.09.2017-08:00,0.8,5,988.7,89.9,12.4,86,178.8333
14.09.2017-09:00,3.2,29,989.2,194.0,12.9,78,625.5
14.09.2017-10:00,3.2,57,989.6,380.8,15.0,72,1253.5
14.09.2017-11:00,3.5,16,990.1,299.4,14.3,73,1786.1667
14.09.2017-12:00,3.6,5,990.3,210.6,14.2,71,2613.1668
14.09.2017-13:00,2.9,12,990.3,322.5,15.8,64,2161.1667
14.09.2017-14:00,2.4,42,990.5,317.2,15.2,68,3943.1668
14.09.2017-15:00,1.7,13,990.7,228.7,16.0,63,4682.9999
14.09.2017-16:00,4.0,0,991.3,82.1,13.2,74,2729.3333
14.09.2017-17:00,2.9,0,991.9,63.4,13.1,78,1903.6667
14.09.2017-18:00,0.7,1,992.3,50.4,12.6,81,323.1667
14.09.2017-19:00,1.1,0,993.0,2.4,11.6,90,318.9999
14.09.2017-20:00,1.5,0,993.6,-9.1,10.5,93,17.125
14.09.2017-21:00,1.2,0,994.2,-8.6,9.5,95,0.0
14.09.2017-22:00,0.9,0,994.7,-8.4,9.1,95,0.0
14.09.2017-23:00,1.1,0,995.2,-7.6,9.3,93,0.0
15.09.2017-00:00,1.1,0,995.5,-7.8,9.6,86,0.0
15.09.2017-01:00,1.6,0,996.1,-8.2,10.0,83,0.0
15.09.2017-02:00,0.4,0,996.6,-8.4,8.0,96,0.0
15.09.2017-03:00,1.0,0,997.3,-8.0,7.4,100,0.0
15.09.2017-04:00,0.4,0,997.8,-8.0,7.6,98,0.0
15.09.2017-05:00,0.4,0,998.2,-7.7,8.5,89,0.0
15.09.2017-06:00,1.1,0,998.8,-4.6,8.8,91,0.0
15.09.2017-07:00,0.8,0,999.2,22.5,9.1,92,0.0
15.09.2017-08:00,2.2,8,999.5,101.6,10.5,91,33.5
15.09.2017-09:00,1.4,45,999.9,251.9,13.2,77,690.1666
15.09.2017-10:00,1.6,60,1000.1,412.6,15.2,67,1029.8333
15.09.2017-11:00,2.1,60,1000.3,479.9,16.4,62,2490.3333
15.09.2017-12:00,1.9,48,1000.7,525.0,15.7,60,4717.6665
15.09.2017-13:00,2.3,40,1000.6,427.0,17.4,52,6139.5
15.09.2017-14:00,2.7,52,1000.7,538.7,16.7,56,5703.8334
15.09.2017-15:00,3.1,4,1001.0,120.9,15.5,59,4407.1665
15.09.2017-16:00,2.9,39,1000.9,275.8,15.2,67,395.8334
15.09.2017-17:00,2.8,60,1001.1,213.9,16.6,56,850.6666
15.09.2017-18:00,2.5,60,1001.5,95.0,14.3,64,2377.6666
15.09.2017-19:00,1.6,4,1002.2,-0.7,11.0,89,1045.3334
15.09.2017-20:00,2.6,0,1002.8,-8.3,10.5,83,0.0
15.09.2017-21:00,0.7,0,1003.0,-7.0,10.6,84,0.0
15.09.2017-22:00,0.2,0,1003.3,-7.7,10.4,91,0.0
15.09.2017-23:00,0.7,0,1003.6,-8.2,10.4,88,0.0
16.09.2017-00:00,1.3,0,1003.9,-8.3,9.7,93,0.0
16.09.2017-01:00,1.2,0,1004.2,-7.9,9.4,95,0.0
16.09.2017-02:00,1.5,0,1004.8,-7.6,9.9,90,0.0
16.09.2017-03:00,1.7,0,1005.1,-7.7,10.4,83,0.0
16.09.2017-04:00,2.0,0,1005.3,-8.4,9.7,84,0.0
16.09.2017-05:00,0.7,0,1005.9,-8.1,9.1,88,0.0
16.09.2017-06:00,0.6,0,1006.5,-6.0,8.0,93,0.0
16.09.2017-07:00,0.4,43,1007.1,44.7,8.0,96,0.0
16.09.2017-08:00,2.9,55,1007.8,160.6,12.6,65,0.0
16.09.2017-09:00,1.1,60,1008.6,289.4,14.7,65,0.0
16.09.2017-10:00,3.7,60,1009.0,397.0,15.3,54,103.0
16.09.2017-11:00,3.4,60,1009.5,487.4,16.4,50,2887.8335
16.09.2017-12:00,2.7,41,1009.8,488.8,15.8,53,5632.5
16.09.2017-13:00,2.9,50,1010.1,482.2,17.4,46,6271.6666
16.09.2017-14:00,2.7,25,1010.5,316.1,16.6,47,6147.0
16.09.2017-15:00,2.1,22,1010.7,232.0,16.6,43,5035.4999
16.09.2017-16:00,3.4,31,1011.1,184.9,16.0,47,3309.3334
16.09.2017-17:00,1.6,11,1011.4,117.7,15.6,53,2325.3333
16.09.2017-18:00,2.2,0,1012.2,41.8,13.8,63,816.8334
16.09.2017-19:00,2.4,5,1013.0,1.5,12.0,72,206.0
16.09.2017-20:00,2.4,0,1013.6,-7.7,10.8,76,2.0
16.09.2017-21:00,2.5,0,1014.4,-7.6,10.1,79,0.0
16.09.2017-22:00,2.1,0,1015.0,-6.7,10.1,80,0.0
16.09.2017-23:00,2.6,0,1015.2,-6.4,11.0,75,0.0
17.09.2017-00:00,3.3,0,1015.6,-6.3,11.0,73,0.0
17.09.2017-01:00,3.1,0,1015.6,-6.6,10.8,70,0.0
17.09.2017-02:00,4.6,0,1015.6,-7.6,10.4,70,0.0
17.09.2017-03:00,3.6,0,1015.9,-7.2,9.6,74,0.0
17.09.2017-04:00,3.2,0,1016.0,-6.5,9.9,73,0.0
17.09.2017-05:00,1.6,0,1016.1,-6.2,10.5,68,0.0
17.09.2017-06:00,2.7,0,1016.4,-5.5,10.5,70,0.0
17.09.2017-07:00,3.5,0,1016.9,6.4,10.6,69,0.0
17.09.2017-08:00,2.6,0,1017.3,54.7,10.7,70,0.0
17.09.2017-09:00,2.8,0,1017.9,80.8,11.0,69,380.8333
17.09.2017-10:00,3.4,0,1017.9,137.7,11.3,71,662.6667
17.09.2017-11:00,3.1,0,1017.8,210.0,12.0,71,1534.3334
17.09.2017-12:00,2.3,0,1017.6,252.7,13.1,67,2647.5001
17.09.2017-13:00,1.0,17,1017.0,374.1,15.4,54,4876.1666
17.09.2017-14:00,1.6,56,1016.3,383.2,15.8,55,5559.8334
17.09.2017-15:00,0.9,12,1016.1,214.7,15.7,56,2112.8334
17.09.2017-16:00,1.7,38,1015.8,308.0,14.6,56,1091.8333
17.09.2017-17:00,1.6,0,1015.8,72.3,13.9,65,1108.1667
17.09.2017-18:00,1.2,0,1015.8,19.8,13.2,70,291.1667
17.09.2017-19:00,1.6,0,1016.1,-3.1,12.5,78,53.4999
17.09.2017-20:00,2.4,0,1016.2,-6.9,11.9,81,0.0
17.09.2017-21:00,1.9,0,1016.4,-6.6,11.4,82,0.0
17.09.2017-22:00,1.4,0,1016.5,-7.3,11.1,83,0.0
17.09.2017-23:00,1.9,0,1016.2,-7.0,10.9,84,0.0
18.09.2017-00:00,2.0,0,1016.0,-6.6,10.7,87,0.0
18.09.2017-01:00,1.9,0,1015.7,-6.7,10.5,87,0.0
18.09.2017-02:00,2.5,0,1015.3,-6.8,10.6,84,0.0
18.09.2017-03:00,0.9,0,1014.8,-6.9,10.6,84,0.0
18.09.2017-04:00,1.4,0,1014.5,-7.1,10.1,89,0.0
18.09.2017-05:00,1.8,0,1014.3,-7.0,9.8,88,0.0
18.09.2017-06:00,0.6,0,1014.1,-6.1,9.4,91,0.0
18.09.2017-07:00,1.3,0,1014.1,14.8,9.9,88,0.0
18.09.2017-08:00,0.2,0,1014.0,41.4,10.6,90,0.0
18.09.2017-09:00,0.4,0,1013.9,71.9,11.4,82,133.5
18.09.2017-10:00,0.9,0,1013.6,106.2,12.0,76,444.0
18.09.2017-11:00,1.3,0,1013.2,169.7,12.8,72,735.6667
18.09.2017-12:00,2.3,8,1012.8,263.1,13.9,70,1365.1666
18.09.2017-13:00,2.5,35,1012.2,360.4,13.7,72,5045.5
18.09.2017-14:00,2.6,18,1011.8,258.0,16.2,65,3002.4998
18.09.2017-15:00,2.9,60,1011.2,405.8,16.2,61,1787.0001
18.09.2017-16:00,2.8,60,1010.6,307.3,15.9,51,4965.3332
18.09.2017-17:00,2.2,56,1010.2,199.9,15.7,58,2892.8334
18.09.2017-18:00,2.1,0,1010.1,24.8,14.5,65,362.1667
18.09.2017-19:00,2.4,0,1010.2,-1.5,14.0,72,103.3334
18.09.2017-20:00,1.0,0,1010.2,-7.2,13.3,74,0.0
18.09.2017-21:00,2.2,0,1010.2,-7.8,12.8,83,0.0
18.09.2017-22:00,2.8,0,1010.4,-8.1,12.3,86,0.0
18.09.2017-23:00,2.5,0,1010.5,-6.7,11.6,92,0.0
19.09.2017-00:00,1.6,0,1010.4,-7.1,11.1,97,0.0
19.09.2017-01:00,0.4,0,1010.2,-8.0,10.9,97,0.0
19.09.2017-02:00,2.6,0,1010.0,-6.7,11.2,92,0.0
19.09.2017-03:00,1.3,0,1009.9,-6.3,11.0,91,0.0
19.09.2017-04:00,1.5,0,1010.0,-7.8,10.5,91,0.0
19.09.2017-05:00,1.8,0,1010.2,-7.4,9.9,91,0.0
19.09.2017-06:00,1.8,0,1010.6,-6.4,9.5,95,0.0
19.09.2017-07:00,4.0,0,1010.9,15.6,10.7,90,0.0
19.09.2017-08:00,4.3,0,1011.4,39.1,10.7,93,0.0
19.09.2017-09:00,3.6,0,1011.8,156.4,11.7,86,190.3334
19.09.2017-10:00,2.8,0,1012.0,147.0,11.8,85,753.6666
19.09.2017-11:00,2.9,0,1012.2,202.8,12.3,82,1477.9999
19.09.2017-12:00,2.3,0,1012.2,203.7,12.8,75,1346.0001
19.09.2017-13:00,3.0,0,1012.4,219.5,13.1,69,2004.0
19.09.2017-14:00,2.9,0,1012.4,263.2,13.3,61,1681.0
