Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
11.06.2017-16:00,4.0,0,1005.9,41.8,13.7,99,276.5001
11.06.2017-17:00,3.1,0,1004.9,80.7,14.1,99,259.0
11.06.2017-18:00,2.6,0,1004.1,73.2,14.3,96,477.8334
11.06.2017-19:00,4.3,0,1003.4,20.9,14.6,94,578.0
11.06.2017-20:00,3.8,0,1002.7,10.4,14.2,93,279.3333
11.06.2017-21:00,3.2,0,1002.3,5.0,13.8,92,193.6667
11.06.2017-22:00,3.1,0,1001.5,-4.0,13.5,93,24.6667
11.06.2017-23:00,2.8,0,1000.4,-5.4,13.2,94,0.0
12.06.2017-00:00,2.9,0,1000.1,-5.6,13.0,95,0.0
12.06.2017-01:00,3.4,0,999.1,-5.5,13.0,96,0.0
12.06.2017-02:00,3.1,0,998.4,-5.5,12.7,96,0.0
12.06.2017-03:00,2.4,0,997.6,-5.1,12.5,97,0.0
12.06.2017-04:00,2.0,0,997.0,4.2,11.9,97,0.0
12.06.2017-05:00,1.6,15,996.7,54.7,11.8,96,0.0
12.06.2017-06:00,1.7,54,996.1,202.6,13.7,83,162.0
12.06.2017-07:00,2.9,32,995.5,286.6,13.8,76,380.6668
12.06.2017-08:00,3.2,54,995.1,373.1,14.8,75,925.1666
12.06.2017-09:00,3.6,60,994.6,478.5,15.8,70,2309.1667
12.06.2017-10:00,2.9,60,994.3,459.7,15.7,69,3548.8334
12.06.2017-11:00,3.7,60,993.7,752.0,18.1,59,4442.3333
12.06.2017-12:00,4.5,13,993.6,412.5,17.0,61,6264.1668
12.06.2017-13:00,6.7,37,993.3,686.4,18.6,54,7527.6667
12.06.2017-14:00,5.2,60,992.7,756.9,19.3,49,4559.1666
12.06.2017-15:00,5.9,60,992.5,774.2,19.4,53,6312.3332
12.06.2017-16:00,3.9,10,993.2,172.4,16.1,77,5945.1667
12.06.2017-17:00,1.0,1,993.3,133.7,16.7,66,3731.8333
12.06.2017-18:00,3.6,7,993.9,204.4,17.9,52,562.0
12.06.2017-19:00,4.4,16,994.6,174.4,16.8,57,2471.6667
12.06.2017-20:00,2.9,23,995.1,79.0,16.8,60,726.5
12.06.2017-21:00,3.0,10,995.9,45.9,15.8,62,322.1666
12.06.2017-22:00,2.6,0,996.7,0.5,14.9,67,32.5
12.06.2017-23:00,3.0,0,997.1,-5.5,14.1,70,0.0
13.06.2017-00:00,3.4,0,997.9,-7.4,13.1,77,0.0
13.06.2017-01:00,4.9,0,998.3,-6.2,13.6,73,0.0
13.06.2017-02:00,3.1,0,999.1,-6.5,13.9,64,0.0
13.06.2017-03:00,2.1,0,999.7,-5.6,12.2,72,0.0
13.06.2017-04:00,3.5,0,1000.4,1.8,13.2,66,0.0
13.06.2017-05:00,2.7,0,1001.2,24.6,12.9,68,0.0
13.06.2017-06:00,2.1,8,1001.7,122.4,14.4,65,0.0
13.06.2017-07:00,4.3,60,1002.0,347.3,17.2,52,389.4999
13.06.2017-08:00,7.5,60,1002.6,486.7,17.6,49,466.3332
13.06.2017-09:00,5.1,30,1003.2,323.3,17.1,51,1885.3333
13.06.2017-10:00,5.3,46,1003.8,405.9,18.9,50,3458.5
13.06.2017-11:00,5.0,48,1004.1,739.3,20.4,46,2913.3333
13.06.2017-12:00,4.4,46,1004.6,706.9,20.2,46,5325.1667
13.06.2017-13:00,3.7,5,1005.1,478.9,19.9,46,5747.1666
13.06.2017-14:00,2.1,9,1005.4,463.7,21.4,46,4868.8333
13.06.2017-15:00,2.3,29,1006.6,328.0,15.8,80,2645.1667
13.06.2017-16:00,1.8,2,1006.7,212.8,16.8,72,614.3334
13.06.2017-17:00,1.0,27,1006.9,293.1,16.9,71,3266.3334
13.06.2017-18:00,1.0,53,1007.0,379.9,19.0,60,2199.8333
13.06.2017-19:00,2.5,43,1007.6,265.0,18.8,56,3034.8333
13.06.2017-20:00,1.6,0,1008.4,75.1,16.6,64,314.0
13.06.2017-21:00,2.9,7,1009.1,23.3,15.8,69,665.0001
13.06.2017-22:00,1.1,0,1009.5,-2.7,14.4,77,127.3334
13.06.2017-23:00,0.7,0,1010.0,-8.1,13.7,82,0.0
14.06.2017-00:00,1.5,0,1010.6,-8.6,13.1,85,0.0
14.06.2017-01:00,0.9,0,1010.9,-8.2,12.2,87,0.0
14.06.2017-02:00,0.5,0,1011.2,-7.3,12.0,89,0.0
14.06.2017-03:00,1.5,0,1011.5,-6.1,11.4,91,0.0
14.06.2017-04:00,0.7,8,1011.9,7.6,10.9,94,0.0
14.06.2017-05:00,0.7,32,1012.2,99.7,14.5,80,0.0
14.06.2017-06:00,1.4,52,1012.1,242.2,16.0,77,64.1667
14.06.2017-07:00,0.6,60,1012.3,336.6,18.2,62,600.1667
14.06.2017-08:00,1.9,20,1012.6,292.6,17.7,70,758.0
14.06.2017-09:00,1.5,33,1012.6,410.3,18.5,61,2133.8334
14.06.2017-10:00,2.1,60,1012.5,699.3,19.9,57,2801.1667
14.06.2017-11:00,2.7,60,1012.3,809.1,20.5,53,3556.6666
14.06.2017-12:00,5.3,59,1012.4,899.7,18.6,56,6349.3332
14.06.2017-13:00,3.1,18,1012.4,471.5,18.6,60,2715.0001
14.06.2017-14:00,1.6,55,1012.0,796.1,21.8,49,3898.3333
14.06.2017-15:00,0.9,47,1011.8,700.8,21.1,48,6373.3334
14.06.2017-16:00,2.6,44,1011.4,487.6,21.8,45,5540.1666
14.06.2017-17:00,2.4,60,1011.2,526.8,22.4,41,4754.9999
14.06.2017-18:00,2.8,34,1011.4,307.1,20.7,45,2122.3333
14.06.2017-19:00,3.3,37,1011.8,211.7,21.3,46,2019.3333
14.06.2017-20:00,2.5,60,1012.1,168.7,18.7,58,1447.1667
14.06.2017-21:00,1.8,28,1012.4,27.1,17.4,57,257.5
14.06.2017-22:00,2.4,0,1012.5,-1.6,16.2,62,89.8333
14.06.2017-23:00,0.8,0,1012.8,-8.2,13.8,79,0.0
15.06.2017-00:00,2.5,0,1013.2,-8.7,12.9,83,0.0
15.06.2017-01:00,2.0,0,1013.2,-8.0,12.4,85,0.0
15.06.2017-02:00,1.0,0,1013.2,-7.7,11.4,83,0.0
15.06.2017-03:00,1.2,0,1013.2,-6.0,11.4,82,0.0
15.06.2017-04:00,0.7,0,1013.3,2.3,11.2,91,0.0
15.06.2017-05:00,0.7,0,1013.5,32.6,11.8,87,0.0
15.06.2017-06:00,0.3,2,1013.4,115.4,14.3,71,206.8334
15.06.2017-07:00,1.0,33,1013.2,272.0,17.1,63,720.6667
15.06.2017-08:00,0.8,46,1013.0,364.0,18.0,59,872.1667
15.06.2017-09:00,1.5,0,1013.0,311.4,17.9,57,2167.8334
15.06.2017-10:00,2.5,34,1013.1,447.7,18.5,54,2626.1666
15.06.2017-11:00,2.7,37,1012.8,519.2,19.2,48,3220.3332
15.06.2017-12:00,2.4,2,1012.5,430.0,19.8,50,3533.8333
15.06.2017-13:00,2.8,59,1011.8,793.5,20.9,40,2987.1666
15.06.2017-14:00,3.1,60,1011.5,799.6,21.4,40,6436.3333
15.06.2017-15:00,4.6,60,1011.0,661.8,20.9,43,6243.8332
15.06.2017-16:00,4.0,52,1010.6,529.8,20.1,53,6583.6668
15.06.2017-17:00,4.6,29,1010.2,347.1,20.9,49,5828.8334
15.06.2017-18:00,3.7,19,1009.8,259.6,20.1,49,3217.4999
15.06.2017-19:00,3.8,12,1009.6,151.7,17.9,59,1950.0
15.06.2017-20:00,3.0,8,1009.3,80.8,17.3,67,1297.3333
15.06.2017-21:00,3.1,0,1009.3,31.0,16.6,78,347.4999
15.06.2017-22:00,3.4,0,1009.2,-1.6,15.5,85,78.5
15.06.2017-23:00,3.0,0,1008.6,-6.4,14.8,88,0.0
16.06.2017-00:00,2.5,0,1008.2,-6.4,14.5,91,0.0
16.06.2017-01:00,1.2,0,1007.9,-6.8,13.9,94,0.0
16.06.2017-02:00,2.2,0,1007.2,-6.4,14.5,93,0.0
